"","INCIDENT_ADDRESS","BOROUGH","COMMUNITY_BOARD","POLICE_PRECINCT","CITY_COUNCIL_DISTRICT","BBL","CREATED_DATE","STATUS","RESOLUTION_ACTION","CLOSED_DATE","X_COORDINATE","Y_COORDINATE","dispatched","resolution","date","responseTime","dow","weekday","latlong","count"
"1586","122 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004100043,"08/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",987423,201472,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",37,"Tuesday",1,"987423,201472",1
"1587","15 1 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004430038,"08/04/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",987483,202836,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",62,"Friday",1,"987483,202836",1
"1588","174 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004120045,"05/31/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/20/2017",987705,202203,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",20,"Wednesday",1,"987705,202203",1
"1590","138 ORCHARD STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004100010,"11/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/27/2017",987231,201601,1,"Cleaning crew dispatched.  Property cleaned.","2017/11",21,"Monday",1,"987231,201601",3
"1591","40 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003100004,"10/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/27/2017",986929,200209,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",35,"Monday",1,"986929,200209",2
"1592","64 2 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004450006,"09/18/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/27/2017",987132,203754,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",70,"Monday",1,"987132,203754",1
"1593","500 WEST  213 STREET","MANHATTAN","12 MANHATTAN","Precinct 34",10,1022300019,"05/30/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/30/2017",1007383,255648,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",31,"Tuesday",1,"1007383,255648",1
"1594","1349 2 AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",4,1014260021,"06/01/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/27/2017",995663,219165,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",26,"Thursday",1,"995663,219165",1
"1595","133 ORCHARD STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004150070,"05/31/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/26/2017",987202,201543,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",26,"Wednesday",1,"987202,201543",1
"1596","176 RIVINGTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003440168,"03/28/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/09/2017",988564,201191,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",73,"Tuesday",1,"988564,201191",2
