INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
502 WEST   45 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010730028,01/03/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,985816,216770
1371 GARRISON AVENUE,BRONX,02 BRONX,Precinct 41,17,,01/03/2018,Open,Property Research Required,,1016083,238545
115 SEDGEWICK AVENUE,BRONX,01 BRONX,Unspecified,,,12/07/2017,Open,Property Research Required,,,
1713 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,37,,12/07/2017,Open,Property Research Required,,1008749,188344
28-31 atlantic ave,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,
3906 st nicholas,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,
1213 BRONX RIVER AVENUE,BRONX,09 BRONX,Precinct 43,17,,08/16/2017,Open,Property Research Required,,1016689,241263
1424 BOSTON ROAD,BRONX,03 BRONX,Precinct 42,16,,07/20/2017,Open,Property Research Required,,1012736,242840
 90 S SIX STREET BROOKLYN NEW YORK 11249,BROOKLYN,01 BROOKLYN,Unspecified,,,06/14/2017,Open,Property Research Required,,,
2388 DR MARTIN LUTHER KING JR BLVD,BRONX,07 BRONX,Precinct 52,14,,04/18/2017,Open,Property Research Required,,1010393,253387
123 BUEL AVENUE,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50,,04/24/2017,Open,Property Research Required,,957121,153299
68 SAINT MARKS PLACE,BROOKLYN,02 BROOKLYN,Precinct 84,33,,04/23/2017,Open,Property Research Required,,989665,187755
254 EAST   20 STREET,MANHATTAN,06 MANHATTAN,Precinct 13,02,,05/03/2017,Open,Property Research Required,,988938,207550
 659 LENNOX AVENUE,MANHATTAN,01 MANHATTAN,Unspecified,,,04/10/2017,Open,Property Research Required,,,
175 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1005020042,11/13/2017,Open,Site downloaded for cleaning,,983571,203344
745 EAST  141 STREET,BRONX,01 BRONX,Precinct 40,08,2025740001,10/10/2017,Open,Site downloaded for cleaning,,1009054,233152
